,brand,model_name,bodyType,color,engineDisplacement,enginePower,fuelType,mileage,productionDate,vehicleTransmission,owners,pts,wd,wheel,state,tax,customs,price
645,Nissan,Nissan Qashqai I Рестайлинг,внедорожник 5 дв.,красный,1.6,117,Бензин,212447,2012,вариатор,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2925,Растаможен,805000₽
646,Hyundai,Hyundai Santa Fe III,внедорожник 5 дв.,чёрный,2.2,197,Дизель,184822,2013,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9850,Растаможен,1520000₽
647,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Оранжевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1175221₽
648,Volkswagen,Volkswagen Tiguan II,внедорожник 5 дв.,серебристый,2.0,220,Бензин,45649,2018,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,14300,Растаможен,
649,Lexus,Lexus RX 270 III,внедорожник 5 дв.,чёрный,2.7,188,Бензин,142000,2011,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,9400,Растаможен,1725000₽
650,BMW,BMW X3 20d xDrive III (G01),внедорожник 5 дв.,синий,2.0,190,Дизель,5466,2021,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,10450,Растаможен,4568008₽
651,BMW,BMW 3 серии Gran Turismo 320d xDrive VI (F3x) Рестайлинг,лифтбек,синий,2.0,190,Дизель,23463,2019,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9500,Растаможен,2948000₽
652,Kia,Kia Sorento II Рестайлинг,внедорожник 5 дв.,серый,2.4,175,Бензин,215634,2014,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,7875,Растаможен,1294000₽
653,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 1140575₽
654,Kia,Kia Rio X IV Рестайлинг,хэтчбек 5 дв.,белый,1.6,123,Бензин,7883,2021,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,1418000₽
655,Volkswagen,Volkswagen Tiguan I Рестайлинг,внедорожник 5 дв.,белый,1.4,150,Бензин,115656,2012,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,870000₽
656,Kia,Kia Sorento II,внедорожник 5 дв.,коричневый,2.4,175,Бензин,145000,2010,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,7875,Растаможен,995000₽
657,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1112909₽
658,Kia,Kia Sorento II,внедорожник 5 дв.,чёрный,2.4,175,Бензин,142000,2010,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,7875,Растаможен,1019000₽
659,Nissan,Nissan Qashqai I Рестайлинг,внедорожник 5 дв.,белый,2.0,141,Бензин,206000,2012,вариатор,1 владелец,Оригинал,передний,Левый,Не требует ремонта,4935,Растаможен,
660,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 666000₽
661,Volkswagen,Volkswagen Multivan T5 Рестайлинг,минивэн,белый,2.0,140,Дизель,152625,2014,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,4900,Растаможен,2450000₽
662,Land,Land Rover Range Rover IV Рестайлинг,внедорожник 5 дв.,чёрный,5.0,525,Бензин,29500,2019,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,157500,Растаможен,10909000₽
663,Skoda,Skoda Octavia II (A5) Рестайлинг,лифтбек,белый,1.8,152,Бензин,229250,2012,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,6840,Растаможен,632000₽
664,Kia,Kia K5 III,седан,синий,2.5,194,Бензин,33736,2020,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,9700,Растаможен,2314000₽
665,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 1148883₽
666,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 736000₽
667,Mitsubishi,Mitsubishi Outlander III Рестайлинг 3,внедорожник 5 дв.,коричневый,2.0,146,Бензин,67000,2018,вариатор,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5110,Растаможен,1838000₽
668,Land,Land Rover Range Rover IV Рестайлинг,внедорожник 5 дв.,чёрный,5.0,525,Бензин,34000,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,157500,Растаможен,8797000₽
669,Skoda,Skoda Rapid I,лифтбек,синий,1.4,122,Бензин,121988,2014,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,3050,Растаможен,729000₽
670,Hyundai,Hyundai Sonata VII (LF) Рестайлинг,седан,белый,2.4,188,Бензин,56100,2019,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,9212,Растаможен,
671,Kia,Kia Rio X IV Рестайлинг,хэтчбек 5 дв.,белый,1.6,123,Бензин,18575,2020,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,1410000₽
672,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 661000₽
673,Audi,Audi A3 35 TFSI IV (8Y),седан,синий,1.4,150,Бензин,10км,2021,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,3249000₽
674,Ford,Ford Mondeo IV Рестайлинг,лифтбек,белый,2.0,200,Бензин,142000,2011,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,10000,Растаможен,745000₽
675,Ford,Ford Focus III Рестайлинг,седан,белый,1.6,125,Бензин,116039,2016,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,4250,Растаможен,799000₽
676,Renault,Renault Duster I Рестайлинг,внедорожник 5 дв.,серебристый,1.5,109,Дизель,79533,2018,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,2725,Растаможен,1210000₽
677,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1141987₽
678,Toyota,Toyota Land Cruiser 200 Series Рестайлинг 2,внедорожник 5 дв.,белый,4.5,249,Дизель,69791,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,6615000₽
679,Land,Land Rover Range Rover Sport II Рестайлинг,внедорожник 5 дв.,чёрный,3.0,249,Дизель,71559,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,37350,Растаможен,5964000₽
680,LADA,LADA (ВАЗ) 2104 5-speed,универсал 5 дв.,зелёный,1.5,72,Бензин,226000,1997,задний,Оригинал,Растаможен,Левый,Не требует ремонта,2 владельца,механическая,XTA**************,55000₽
681,Chevrolet,Chevrolet Aveo I Рестайлинг,седан,серебристый,1.2,72,Бензин,150000,2007,передний,Оригинал,Растаможен,Левый,Не требует ремонта,2 владельца,механическая,XUU**************,275000₽
682,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1196988₽
683,Kia,Kia Rio 4-speed III,седан,белый,1.6,123,Бензин,310000,2013,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,600000₽
684,Nissan,Nissan Qashqai II Рестайлинг,внедорожник 5 дв.,синий,2.0,144,Бензин,8648,2020,вариатор,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5040,Растаможен,1941000₽
685,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1245845₽
686,LADA,LADA (ВАЗ) 2121 (4x4) Bronto I Рестайлинг,внедорожник 3 дв.,бежевый,1.7,83,Бензин,33631,2019,механическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,996₽,Растаможен,897000₽
687,SsangYong,SsangYong Kyron 5-speed I Рестайлинг,внедорожник 5 дв.,серый,2.0,141,Дизель,126000,2012,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,4935,Растаможен,745000₽
688,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 706000₽
689,Opel,Opel Astra J,универсал 5 дв.,коричневый,1.4,140,Бензин,157000,2012,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,4900,Растаможен,650000₽
690,Chevrolet,Chevrolet Niva I Рестайлинг,внедорожник 5 дв.,серый,1.7,80,Бензин,50036,2020,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,960₽,Растаможен,830000₽
691,Volkswagen,Volkswagen Touareg I Рестайлинг,внедорожник 5 дв.,синий,3.0,240,Дизель,211777,2009,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,18000,Растаможен,1137000₽
692,Kia,Kia Soul II,хэтчбек 5 дв.,чёрный,1.6,132,Бензин,90925,2016,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,4620,Растаможен,1125000₽
693,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 706000₽
694,Mercedes-Benz,Mercedes-Benz M-Класс 350 II (W164) Рестайлинг,внедорожник 5 дв.,пурпурный,3.5,272,Бензин,152345,2010,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,40800,Растаможен,1145000₽
695,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 721000₽
696,Hyundai,Hyundai Grand Starex I,минивэн,голубой,2.5,145,Дизель,133000,2010,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,5075,9 лет и 5 месяцев,1225000₽
697,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1245845₽
698,BMW,BMW X5 M50d IV (G05),внедорожник 5 дв.,чёрный,3.0,400,Дизель,20125,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,120000,Растаможен,8429000₽
699,Land,Land Rover Range Rover IV Рестайлинг,внедорожник 5 дв.,серый,4.4,339,Дизель,108893,2018,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,50850,Растаможен,6976000₽
700,Hyundai,Hyundai Creta I,внедорожник 5 дв.,белый,1.6,123,Бензин,109946,2018,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,1235000₽
701,SsangYong,SsangYong Kyron 5-speed I Рестайлинг,внедорожник 5 дв.,белый,2.0,141,Дизель,127000,2013,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,4935,Растаможен,795000₽
702,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 811000₽
703,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 856000₽
704,Renault,Renault Kaptur I,внедорожник 5 дв.,серый,2.0,143,Бензин,176643,2018,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5005,Растаможен,1140000₽
705,Toyota,Toyota Camry VIII (XV70),седан,белый,2.0,150,Бензин,130000,2019,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5100,3 года и 1 месяц,
706,Renault,Renault Duster I,внедорожник 5 дв.,чёрный,2.0,135,Бензин,138500,2013,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,4725,Растаможен,860000₽
707,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 696000₽
708,Hyundai,Hyundai ix35 I,внедорожник 5 дв.,чёрный,2.0,184,Дизель,154000,2010,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9200,Растаможен,979000₽
709,Chevrolet,Chevrolet Cruze I Рестайлинг,седан,синий,1.4,140,Бензин,155000,2013,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,4900,7 лет и 10 месяцев,665000₽
710,Nissan,Nissan Leaf I (ZE0/AZE0),хэтчбек 5 дв.,белый,109.с.,80,Электро,76700,2013,0 ₽ / год,Не требует ремонта,2 владельца,автоматическая,передний,Правый,хода199,Оригинал,725000₽
711,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 696000₽
712,Hyundai,Hyundai Solaris II,седан,белый,1.6,123,Бензин,20256,2020,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,1179000₽
713,Nissan,Nissan Qashqai II,внедорожник 5 дв.,белый,2.0,144,Бензин,105775,2014,вариатор,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5040,Растаможен,1370000₽
714,Land,Land Rover Discovery V,внедорожник 5 дв.,серый,3.0,249,Дизель,104844,2018,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,4199000₽
715,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 741000₽
716,Mitsubishi,Mitsubishi Lancer X,седан,красный,1.8,143,Бензин,241600,2010,вариатор,3 или более,Оригинал,передний,Левый,Не требует ремонта,5005,Растаможен,680000₽
717,Kia,Kia Ceed II Рестайлинг,хэтчбек 5 дв.,серый,1.6,135,Бензин,36978,2015,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,4725,Растаможен,1145000₽
718,Land,Land Rover Range Rover Long IV,внедорожник 5 дв.,чёрный,4.4,339,Дизель,129555,2015,автоматическая,3 или более,Дубликат,полный,Левый,Не требует ремонта,50850,Растаможен,4722000₽
719,BMW,BMW X1 18i I (E84),внедорожник 5 дв.,чёрный,2.0,150,Бензин,128000,2011,автоматическая,1 владелец,Оригинал,задний,Левый,Не требует ремонта,5250,Растаможен,895000₽
720,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 811000₽
721,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,1080105₽
722,Kia,Kia Picanto GT Line III,хэтчбек 5 дв.,белый,1.3,84,Бензин,30375,2019,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,1008,Растаможен,1090000₽
723,SsangYong,SsangYong Kyron 5-speed I Рестайлинг,внедорожник 5 дв.,белый,2.0,141,Дизель,114700,2013,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,4935,Растаможен,729000₽
724,Kia,Kia Sportage IV,внедорожник 5 дв.,серебристый,2.0,150,Бензин,83589,2017,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,1768000₽
725,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 626000₽
726,Mercedes-Benz,Mercedes-Benz A-Класс 200 IV (W177),хэтчбек 5 дв.,красный,1.3,150,Бензин,40476,2019,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,2040000₽
727,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Бежевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1192783₽
728,Nissan,Nissan Tiida I,седан,синий,1.6,110,Бензин,219000,2008,механическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,450000₽
729,Kia,Kia Sportage IV,внедорожник 5 дв.,серебристый,2.0,150,Бензин,83589,2017,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,1768000₽
730,Mercedes-Benz,Mercedes-Benz A-Класс 200 IV (W177),хэтчбек 5 дв.,красный,1.3,150,Бензин,40476,2019,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,2040000₽
731,Nissan,Nissan Tiida I,седан,синий,1.6,110,Бензин,219000,2008,механическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,450000₽
732,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 736000₽
733,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 681000₽
734,Nissan,Nissan Tiida I,хэтчбек 5 дв.,серебристый,1.6,110,Бензин,139000,2008,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,559000₽
735,Volkswagen,Volkswagen Passat CC I Рестайлинг,седан,чёрный,1.8,152,Бензин,112000,2012,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,6840,Растаможен,999000₽
736,BMW,BMW X7 40i I (G07),внедорожник 5 дв.,чёрный,3.0,340,Бензин,29797,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,102000,Растаможен,7431000₽
737,Chevrolet,Chevrolet Cruze I Рестайлинг,седан,чёрный,1.4,140,Бензин,139800,2014,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,4900,7 лет и 8 месяцев,745000₽
738,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 721000₽
739,LADA,LADA (ВАЗ) Vesta I,седан,коричневый,1.6,113,Бензин,22634,2021,вариатор,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2825,Растаможен,1003000₽
740,Nissan,Nissan Qashqai II,внедорожник 5 дв.,серый,2.0,144,Бензин,106922,2014,вариатор,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5040,Растаможен,1287000₽
741,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1171068₽
742,Renault,Renault Duster I Рестайлинг,внедорожник 5 дв.,чёрный,2.0,143,Бензин,119575,2018,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5005,Растаможен,1250000₽
743,Kia,Kia Rio IV,седан,белый,1.6,123,Бензин,52000,2018,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,1075000₽
744,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 811000₽
745,Opel,Opel Astra K,универсал 5 дв.,серебристый,1.6,136,Дизель,116704,2017,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,4760,Растаможен,1355000₽
746,Cadillac,Cadillac Escalade III,внедорожник 5 дв.,чёрный,6.2,409,Бензин,213615,2013,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,61350,Растаможен,2097000₽
747,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 656000₽
748,Mitsubishi,Mitsubishi Pajero IV Рестайлинг 2,внедорожник 5 дв.,белый,3.0,178,Бензин,149051,2015,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,8900,Растаможен,1945000₽
749,Porsche,Porsche Cayenne Coupé III,внедорожник 5 дв.,красный,3.0,340,Бензин,12000,2021,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,51000,10 месяцев,11500000₽
750,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 795000₽
751,Land,Land Rover Range Rover III Рестайлинг 2,внедорожник 5 дв.,коричневый,4.4,313,Дизель,248000,2011,полный,Оригинал,Растаможен,Левый,Не требует ремонта,2 владельца,автоматическая,SAL**************,
752,Mitsubishi,Mitsubishi Outlander III Рестайлинг 2,внедорожник 5 дв.,серебристый,2.0,146,Бензин,82900,2017,вариатор,2 владельца,Оригинал,полный,Левый,Не требует ремонта,5110,Растаможен,1570000₽
753,Skoda,Skoda Rapid II,лифтбек,синий,1.4,125,Бензин,29800,2020,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3125,Растаможен,1329000₽
754,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 721000₽
755,Audi,Audi A8 Long 55 TFSI IV (D5),седан,чёрный,3.0,340,Бензин,71265,2019,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,51000,Растаможен,5497000₽
756,Volkswagen,Volkswagen Tiguan I Рестайлинг,внедорожник 5 дв.,белый,1.4,150,Бензин,78911,2014,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,995000₽
757,Mercedes-Benz,Mercedes-Benz S-Класс 500 Long V (W221),седан,чёрный,5.5,388,Бензин,177374,2006,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,58200,Растаможен,795000₽
758,Volvo,Volvo V40 Cross Country I,хэтчбек 5 дв.,чёрный,2.0,120,Дизель,143090,2016,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3000,Растаможен,1420000₽
759,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1171068₽
760,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1122921₽
761,Volkswagen,Volkswagen Tiguan II Рестайлинг,внедорожник 5 дв.,синий,2.0,180,Бензин,10909,2021,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9000,Растаможен,3129000₽
762,Volvo,Volvo XC90 I Рестайлинг,внедорожник 5 дв.,серебристый,2.4,185,Дизель,167000,2008,полный,Оригинал,Растаможен,Левый,Не требует ремонта,3 или более,автоматическая,Рассмотрю варианты,889000₽
763,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1158604₽
764,Hyundai,Hyundai Santa Fe III Рестайлинг,внедорожник 5 дв.,синий,2.2,200,Дизель,90000,2015,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,10000,Растаможен,1880000₽
765,Land,Land Rover Discovery IV,внедорожник 5 дв.,коричневый,3.0,245,Дизель,221065,2010,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,18375,Растаможен,1577000₽
766,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1193769₽
767,Mitsubishi,Mitsubishi Pajero IV,внедорожник 5 дв.,бежевый,3.8,250,Бензин,210879,2007,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18750,Растаможен,1057000₽
768,Land,Land Rover Range Rover IV Рестайлинг,внедорожник 5 дв.,белый,4.4,339,Дизель,99000,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,50850,Растаможен,7355000₽
769,BMW,BMW X5 30i II (E70),внедорожник 5 дв.,серый,3.0,272,Бензин,142575,2010,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,40800,Растаможен,1375000₽
770,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 721000₽
771,Kia,Kia Spectra I Рестайлинг 2,седан,серебристый,1.6,101,Бензин,320000,2006,передний,Дубликат,2 года и 1 месяц,Левый,Не требует ремонта,3 или более,механическая,Растаможен,210000₽
772,Renault,Renault Kaptur I,внедорожник 5 дв.,серебристый,2.0,143,Бензин,70350,2017,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5005,Растаможен,1251000₽
773,Mitsubishi,Mitsubishi RVR II,компактвэн,чёрный,2.4,165,Бензин,377777,1997,автоматическая,3 или более,Оригинал,полный,Правый,Не требует ремонта,7425,Растаможен,
774,Renault,Renault Duster I Рестайлинг,внедорожник 5 дв.,коричневый,1.5,109,Дизель,83650,2016,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,2725,Растаможен,1150000₽
775,BMW,BMW X5 3.0d I (E53) Рестайлинг,внедорожник 5 дв.,зелёный,3.0,218,Дизель,469981,2003,полный,Оригинал,Растаможен,Левый,Не требует ремонта,3 или более,автоматическая,Рассмотрю варианты,819000₽
776,Hyundai,Hyundai Santa Fe III,внедорожник 5 дв.,чёрный,2.2,197,Дизель,155000,2013,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9850,Растаможен,1560000₽
777,Mercedes-Benz,Mercedes-Benz GLA 250 I (X156),внедорожник 5 дв.,чёрный,2.0,211,Бензин,54000,2014,роботизированная,2 владельца,Оригинал,полный,Левый,Не требует ремонта,13715,Растаможен,
778,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 811000₽
779,Kia,Kia Ceed III,универсал 5 дв.,белый,1.4,140,Бензин,34220,2019,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,4900,Растаможен,1651000₽
780,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1216764₽
781,Porsche,Porsche Cayenne III,внедорожник 5 дв.,белый,3.0,340,Бензин,75982,2019,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,51000,Растаможен,5947000₽
782,Opel,Opel Mokka I,внедорожник 5 дв.,коричневый,1.4,140,Бензин,108000,2014,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,4900,7 лет и 3 месяца,999000₽
783,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 621000₽
784,Skoda,Skoda Octavia II (A5) Рестайлинг,лифтбек,белый,1.8,152,Бензин,164000,2010,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,6840,Растаможен,609000₽
785,Hyundai,Hyundai Solaris II,седан,серый,1.6,123,Бензин,66070,2019,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,1144000₽
786,Land,Land Rover Range Rover IV,внедорожник 5 дв.,белый,4.4,339,Дизель,99934,2017,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,50850,Растаможен,5916000₽
787,Opel,Opel Corsa D,хэтчбек 5 дв.,голубой,1.2,80,Бензин,310000,2008,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,960₽,Растаможен,270000₽
788,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,1166055₽
789,Kia,Kia Ceed I Рестайлинг,хэтчбек 5 дв.,синий,1.6,122,Бензин,133000,2011,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,3050,Растаможен,639000₽
790,Ford,Ford Explorer V,внедорожник 5 дв.,чёрный,3.5,294,Бензин,198000,2014,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,44100,Растаможен,1590000₽
791,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 811000₽
